2025-10-01 13:35:26,955 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,956 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,957 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,959 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,960 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,961 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,964 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,966 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,967 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,968 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,970 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,971 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,972 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,974 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,975 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,977 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,979 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,981 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,982 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,983 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,985 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,986 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,987 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,989 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,991 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,993 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,994 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,995 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,997 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,998 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,999 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:27,001 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:27,002 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:27,005 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:27,006 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:27,007 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:27,009 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:27,010 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:27,012 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:27,013 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:27,014 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:27,016 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:27,018 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:27,020 - Sensor 1: BLOCKED | Sensor 2: OPEN
